search_batch_id	experiment_tag	sample_category	publication_name	pubmed_id	repository_identifiers
6195	raftapr	Cancer Cell Lines, Blood	von Haller et al. 2003 Mol Cell Proteomics 2, 428-442	12832459	
6196	raftaug	Cancer Cell Lines, Blood	von Haller et al. 2003 Mol Cell Proteomics 2, 428-442	12832459	
6197	raftflow	Cancer Cell Lines, Blood	von Haller et al. 2003 Mol Cell Proteomics 2, 428-442	12832459	
6198	LNCALmicrosomal	Cancer Cell Lines, Other Male Reproductive Organ	Lin et al. 2005, Cancer Res. 2005 Apr 15;65(8):3081-91	15833837	
6199	LNCALcyto	Cancer Cell Lines, Other Male Reproductive Organ	Lin et al. 2005, Cancer Res. 2005 Apr 15;65(8):3081-91	15833837	
6200	LNCALnucl	Cancer Cell Lines, Other Male Reproductive Organ	Lin et al. 2005, Cancer Res. 2005 Apr 15;65(8):3081-91	15833837	
6201	HIV_S100	Other Anatomical Entities			
6202	Huh7-S100_IFN	Cancer Cell Lines, Liver	Yan, W. et al. (2004) Genome Biology 2004, 5:R54	15287976	
6203	Huh7-P100_IFN	Cancer Cell Lines, Liver	Yan, W. et al. (2004) Genome Biology 2004, 5:R54	15287976	
6204	Huh7-P3_IFN	Cancer Cell Lines, Liver	Yan, W. et al. (2004) Genome Biology 2004, 5:R54	15287976	
6205	HFHs100IFN	Cancer Cell Lines, Liver	Yan, W. et al. (2004) Mol Cell Proteomics. 2004 Jul 21	15269248	
6206	HFHp100IFN	Cancer Cell Lines, Liver	Yan, W. et al. (2004) Genome Biology 2004, 5:R54	15287976	
6207	HFHp3IFN	Cancer Cell Lines, Liver	Yan, W. et al. (2004) Mol Cell Proteomics. 2004 Jul 21	15269248	
6208	HIV_P100	Other Anatomical Entities			
6209	HIV_P3	Other Anatomical Entities			
6210	ICAT-3A-S1	Other Anatomical Entities			
6211	ICAT-3A-P3	Other Anatomical Entities	Shiio et al. 2003, J Am Soc Mass Spectrom. 2003 Jul;14(7):696-703.	12837591	
6212	ICAT-3B-S1	Other Anatomical Entities			
6213	ICAT-3B-P3	Other Anatomical Entities			
6214	041803_BALF3	Other Anatomical Entities	Schnapp et al. (2006)	16816363	
6215	031003_BALF2	Other Anatomical Entities	Schnapp et al. (2006)	16816363	
6216	050603_BALF11	Other Anatomical Entities	Schnapp et al. (2006)	16816363	
6217	032403_BALF4_glypep	Other Anatomical Entities	Schnapp et al. (2006)	16816363	
6220	HuBCellRaft_ICAT1	Blood Cells			
6218	051503_BAL20_gly_hui	Other Anatomical Entities	Schnapp et al. (2006)	16816363	
6219	051503_BAL20_gly_lec	Other Anatomical Entities	Schnapp et al. (2006)	16816363	
6221	HuBCellRaft_ICAT1_ft	Other Anatomical Entities			
6223	Caco2vsEcoli	Cancer Cell Lines, Digestive System	Hardwidge PR, et al. 2004, J Biol Chem. 279(19):20127-36.	14988394	
6229	serum_peo_peptides	Blood Plasma			
6224	Trex_1	Other Anatomical Entities	Himeda et al. 2004, Mol Cell Biol. 2004 Mar;24(5):2132-43	14966291	
6225	HIV2hivmock	Other Anatomical Entities			
6226	HIV2mockhiv	Other Anatomical Entities			
6227	hh4plusHCVminus	Other Anatomical Entities			
6228	hh4HCVGFP	Other Anatomical Entities			
6230	cation_ex_lcq	Blood Plasma			
6231	cat_ex_qtof	Blood Plasma			
6232	caex_qtof08	Blood Plasma			
6233	breakfast_qtof08	Blood Plasma			
6235	THP1secLPS	Cancer Cell Lines, Blood			
6236	THP1nucLPS	Cancer Cell Lines, Blood			
6237	HUPO28_b2-CIT	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6238	HUPO28_b2-SERUM	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6239	HUPO28_b1-CIT	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6240	HUPO28_b1-SERUM	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
